MeSH Code	MeSH Name	ICD10 Code	ICD10 Name
D005873	Giardiasis	A07.1	Giardiasis [lambliasis]
D005878	Gilbert Disease	E80.4	Gilbert's syndrome
D005889	Gingival Recession	K06.0	Gingival recession
D005896	Glanders	A24.0	Glanders
D005901	Glaucoma	H40	Glaucoma
D005901	Glaucoma	H40-H42.9	Glaucoma
D005901	Glaucoma	H40.9	Glaucoma, unspecified
D015433	Glomerulonephritis, Membranous	N03.2	Chronic nephritic syndrome, diffuse membranous glomerulonephritis
D005926	Glossalgia	K14.6	Glossodynia
D005928	Glossitis	K14.0	Glossitis
D005929	Glossitis, Benign Migratory	K14.1	Geographic tongue
D006008	Glycogen Storage Disease	E74.0	Glycogen storage disease
D006029	Glycosuria	R81	Glycosuria
D058429	Gnathostomiasis	B83.1	Gnathostomiasis
D006043	Goiter, Endemic	E01.0	Iodine-deficiency-related diffuse (endemic) goitre
D006043	Goiter, Endemic	E01.2	Iodine-deficiency-related (endemic) goitre, unspecified
D006069	Gonorrhea	A54	Gonococcal infection
D006069	Gonorrhea	A54.9	Gonococcal infection, unspecified
D006073	Gout	M10	Gout
D006073	Gout	M10.9	Gout, unspecified
D006100	Granuloma Inguinale	A58	Granuloma inguinale
D006103	Granuloma, Lethal Midline	M31.2	Lethal midline granuloma
D020275	Guillain-Barre Syndrome	G61.0	Guillain-Barre syndrome
D006209	Halitosis	R19.6	Halitosis
D006211	Pantothenate Kinase-Associated Neurodegeneration	G23.0	Hallervorden-Spatz disease
D006212	Hallucinations	R44.3	Hallucinations, unspecified
D006228	Hand Deformities, Congenital	Q68.1	Congenital deformity of hand
D006232	Hand, Foot and Mouth Disease	B08.4	Enteroviral vesicular stomatitis with exanthem
D006255	Rhinitis, Allergic, Seasonal	J30.1	Allergic rhinitis due to pollen
D006259	Craniocerebral Trauma	S00-S09.9	Injuries to the head
D006259	Craniocerebral Trauma	S09.9	Unspecified injury of head
D006261	Headache	R51	Headache
D006314	Hearing Loss, Conductive	H90.2	Conductive hearing loss, unspecified
D006319	Hearing Loss, Sensorineural	H90.5	Sensorineural hearing loss, unspecified
D006322	Heart Aneurysm	I25.3	Aneurysm of heart
D006323	Heart Arrest	I46	Cardiac arrest
D006323	Heart Arrest	I46.9	Cardiac arrest, unspecified
D006330	Heart Defects, Congenital	Q24.9	Congenital malformation of heart, unspecified
D006331	Heart Diseases	I51.9	Heart disease, unspecified
D006332	Cardiomegaly	I51.7	Cardiomegaly
D006333	Heart Failure	I50	Heart failure
D006333	Heart Failure	I50.9	Heart failure, unspecified
D006335	Heart Injuries	S26	Injury of heart
D006335	Heart Injuries	S26.9	Injury of heart, unspecified
D006337	Heart Murmurs	R01.1	Cardiac murmur, unspecified
D006343	Heart Septal Defects	Q21	Congenital malformations of cardiac septa
D006343	Heart Septal Defects	Q21.9	Congenital malformation of cardiac septum, unspecified
D006344	Heart Septal Defects, Atrial	Q21.1	Atrial septal defect
D006345	Heart Septal Defects, Ventricular	Q21.0	Ventricular septal defect
D006356	Heartburn	R12	Heartburn
D006359	Heat Exhaustion	T67.5	Heat exhaustion, unspecified
D006373	Helminthiasis	B65-B83.9	Helminthiases
D006373	Helminthiasis	B83.9	Helminthiasis, unspecified
D006391	Hemangioma	D18.0	Haemangioma, any site
D006395	Hemarthrosis	M25.0	Haemarthrosis
D006396	Hematemesis	K92.0	Haematemesis
D006399	Hematocolpos	N89.7	Haematocolpos
D006402	Hematologic Diseases	D75.9	Disease of blood and blood-forming organs, unspecified
D006409	Hematometra	N85.7	Haematometra
D006417	Hematuria	R31	Unspecified haematuria
D006429	Hemiplegia	G81	Hemiplegia
D006429	Hemiplegia	G81.9	Hemiplegia, unspecified
D006456	Hemoglobinuria	R82.3	Haemoglobinuria
D006463	Hemolytic-Uremic Syndrome	D59.3	Haemolytic-uraemic syndrome
D006465	Hemoperitoneum	K66.1	Haemoperitoneum
D006469	Hemoptysis	R04.2	Haemoptysis
D006474	Hemorrhagic Disorders	D69.9	Haemorrhagic condition, unspecified
D006479	Hemorrhagic Fever, Crimean	A98.0	Crimean-Congo haemorrhagic fever
D019595	Severe Dengue	A91	Dengue haemorrhagic fever
D006480	Hemorrhagic Fever with Renal Syndrome	A98.5	Haemorrhagic fever with renal syndrome
D006481	Hemorrhagic Fever, Omsk	A98.1	Omsk haemorrhagic fever
D006482	Hemorrhagic Fevers, Viral	A99	Unspecified viral haemorrhagic fever
D006484	Hemorrhoids	I84	Haemorrhoids
D006491	Hemothorax	J94.2	Haemothorax
D006504	Hepatic Veno-Occlusive Disease	K76.5	Hepatic veno-occlusive disease
D006505	Hepatitis	K75.9	Inflammatory liver disease, unspecified
D006519	Hepatitis, Alcoholic	K70.1	Alcoholic hepatitis
D006521	Hepatitis, Chronic	K73.9	Chronic hepatitis, unspecified
D006530	Hepatorenal Syndrome	K76.7	Hepatorenal syndrome
D006547	Hernia	K40-K46.9	Hernia
D006548	Hernia, Diaphragmatic	K44	Diaphragmatic hernia
D006550	Hernia, Femoral	K41	Femoral hernia
D006552	Hernia, Inguinal	K40	Inguinal hernia
D006555	Hernia, Ventral	K43	Ventral hernia
D006557	Herpangina	B08.5	Enteroviral vesicular pharyngitis
D006559	Pemphigoid Gestationis	O26.4	Herpes gestationis
D006561	Herpes Simplex	B00	Herpesviral [herpes simplex] infections
D006562	Herpes Zoster	B02	Zoster [herpes zoster]
D006563	Herpes Zoster Ophthalmicus	B02.3	Zoster ocular disease
D006606	Hiccup	R06.6	Hiccough
D006617	Hip Dislocation	S73.0	Dislocation of hip
D006618	Hip Dislocation, Congenital	Q65.2	Congenital dislocation of hip, unspecified
D006627	Hirschsprung Disease	Q43.1	Hirschsprung's disease
D006628	Hirsutism	L68.0	Hirsutism
D006660	Histoplasmosis	B39	Histoplasmosis
D006660	Histoplasmosis	B39.9	Histoplasmosis, unspecified
D006677	Histrionic Personality Disorder	F60.4	Histrionic personality disorder
D015658	HIV Infections	B24	Unspecified human immunodeficiency virus [HIV] disease
D015658	HIV Infections	B20-B24.9	Human immunodeficiency virus [HIV] disease
D006689	Hodgkin Disease	C81	Hodgkin's disease
D006689	Hodgkin Disease	C81.9	Hodgkin's disease, unspecified
D006725	Hookworm Infections	B76	Hookworm diseases
D006725	Hookworm Infections	B76.9	Hookworm disease, unspecified
D006732	Horner Syndrome	G90.2	Horner's syndrome
D006791	Hostility	R45.5	Hostility
D006816	Huntington Disease	G10	Huntington's disease
D006828	Hydatidiform Mole	O01	Hydatidiform mole
D006828	Hydatidiform Mole	O01.0	Classical hydatidiform mole
D006828	Hydatidiform Mole	O01.9	Hydatidiform mole, unspecified
D006831	Polyhydramnios	O40	Polyhydramnios
D006849	Hydrocephalus	G91	Hydrocephalus
D006849	Hydrocephalus	G91.9	Hydrocephalus, unspecified
D006850	Hydrocephalus, Normal Pressure	G91.2	Normal-pressure hydrocephalus
D006871	Hydrophthalmos	Q15.0	Congenital glaucoma
D006925	Hymenolepiasis	B71.0	Hymenolepiasis
D006929	Hyperaldosteronism	E26	Hyperaldosteronism
D006929	Hyperaldosteronism	E26.9	Hyperaldosteronism, unspecified
D006936	Hypercementosis	K03.4	Hypercementosis
D006939	Hyperemesis Gravidarum	O21	Excessive vomiting in pregnancy
D006941	Hyperesthesia	R20.3	Hyperaesthesia
D006943	Hyperglycemia	R73.9	Hyperglycaemia, unspecified
D006945	Hyperhidrosis	R61	Hyperhidrosis
D006945	Hyperhidrosis	R61.9	Hyperhidrosis, unspecified
D006947	Hyperkalemia	E87.5	Hyperkalaemia
D006949	Hyperlipidemias	E78.5	Hyperlipidaemia, unspecified
D006953	Hyperlipoproteinemia Type IV	E78.1	Pure hyperglyceridaemia
D006956	Hyperopia	H52.0	Hypermetropia
D015576	Hyperostosis	M89.3	Hypertrophy of bone
D004057	Hyperostosis, Diffuse Idiopathic Skeletal	M48.1	Ankylosing hyperostosis [Forestier]
D006961	Hyperparathyroidism	E21.3	Hyperparathyroidism, unspecified
D006963	Hyperphagia	R63.2	Polyphagia
D006966	Hyperprolactinemia	E22.1	Hyperprolactinaemia
D006967	Hypersensitivity	T78.4	Allergy, unspecified
D006970	Disorders of Excessive Somnolence	G47.1	Disorders of excessive somnolence [hypersomnias]
D006971	Hypersplenism	D73.1	Hypersplenism
D006972	Hypertelorism	Q75.2	Hypertelorism
D006973	Hypertension	I10-I15.9	Hypertensive diseases
D006975	Hypertension, Portal	K76.6	Portal hypertension
D006978	Hypertension, Renovascular	I15.0	Renovascular hypertension
D006983	Hypertrichosis	L68	Hypertrichosis
D006983	Hypertrichosis	L68.3	Polytrichia
D006983	Hypertrichosis	L68.9	Hypertrichosis, unspecified
D006985	Hyperventilation	R06.4	Hyperventilation
D006986	Hypervitaminosis A	E67.0	Hypervitaminosis A
D006988	Hyphema	H21.0	Hyphaema
D006998	Hypochondriasis	F45.2	Hypochondriacal disorder
D007003	Hypoglycemia	E16.2	Hypoglycaemia, unspecified
D007008	Hypokalemia	E87.6	Hypokalaemia
D007009	Hypolipoproteinemias	E78.6	Lipoprotein deficiency
D007011	Hypoparathyroidism	E20	Hypoparathyroidism
D007011	Hypoparathyroidism	E20.9	Hypoparathyroidism, unspecified
D007018	Hypopituitarism	E23.0	Hypopituitarism
D007022	Hypotension	I95	Hypotension
D007022	Hypotension	I95.9	Hypotension, unspecified
D007024	Hypotension, Orthostatic	I95.1	Orthostatic hypotension
D007037	Hypothyroidism	E03.9	Hypothyroidism, unspecified
D007153	Immunologic Deficiency Syndromes	D84.9	Immunodeficiency, unspecified
D007161	Immunoproliferative Small Intestinal Disease	C88.3	Immunoproliferative small intestinal disease
D007161	Immunoproliferative Small Intestinal Disease	C88.1	Alpha heavy chain disease
D007169	Impetigo	L01	Impetigo
D007169	Impetigo	L01.0	Impetigo [any organism] [any site]
D007177	Inappropriate ADH Syndrome	E22.2	Syndrome of inappropriate secretion of antidiuretic hormone
D007184	Incontinentia Pigmenti	Q82.3	Incontinentia pigmenti
D007244	Infectious Mononucleosis	B27	Infectious mononucleosis
D007244	Infectious Mononucleosis	B27.0	Gammaherpesviral mononucleosis
D007244	Infectious Mononucleosis	B27.9	Infectious mononucleosis, unspecified
D007247	Infertility, Female	N97	Female infertility
D007247	Infertility, Female	N97.9	Female infertility, unspecified
D007248	Infertility, Male	N46	Male infertility
D007319	Sleep Initiation and Maintenance Disorders	G47.0	Disorders of initiating and maintaining sleep [insomnias]
D007402	Intertrigo	L30.4	Erythema intertrigo
D007410	Intestinal Diseases	K63.9	Disease of intestine, unspecified
D007411	Intestinal Diseases, Parasitic	B82.9	Intestinal parasitism, unspecified
D007411	Intestinal Diseases, Parasitic	B82	Unspecified intestinal parasitism
D007412	Intestinal Fistula	K63.2	Fistula of intestine
D007443	Intussusception	K56.1	Intussusception
D015863	Iridocyclitis	H20	Iridocyclitis
D015863	Iridocyclitis	H20.9	Iridocyclitis, unspecified
D043183	Irritable Bowel Syndrome	K58	Irritable bowel syndrome
D007562	Creutzfeldt-Jakob Syndrome	A81.0	Creutzfeldt-Jakob disease
D007565	Jaundice	R17	Unspecified jaundice
D007567	Jaundice, Neonatal	P59.9	Neonatal jaundice, unspecified
D007571	Jaw Diseases	K10.9	Disease of jaws, unspecified
D007592	Joint Diseases	M00-M25.9	Arthropathies
D007592	Joint Diseases	M25.9	Joint disorder, unspecified
D007592	Joint Diseases	M15-M19.9	Arthrosis
D007592	Joint Diseases	M19.9	Arthrosis, unspecified
D007594	Joint Loose Bodies	M24.0	Loose body in joint
D007627	Keloid	L91.0	Keloid scar
D007634	Keratitis	H16	Keratitis
D007634	Keratitis	H16.9	Keratitis, unspecified
D007637	Keratoconjunctivitis	H16.2	Keratoconjunctivitis
D007640	Keratoconus	H18.6	Keratoconus
D007645	Keratoderma, Palmoplantar	L85.2	Keratosis punctata (palmaris et plantaris)
D055623	Keratosis, Actinic	L57.0	Actinic keratosis
D017492	Keratosis, Seborrheic	L82	Seborrhoeic keratosis
D007647	Kernicterus	P57	Kernicterus
D007647	Kernicterus	P57.9	Kernicterus, unspecified
D007669	Kidney Calculi	N20.0	Calculus of kidney
D007676	Kidney Failure, Chronic	N18	Chronic renal failure
D007676	Kidney Failure, Chronic	N18.0	End-stage renal disease
D007676	Kidney Failure, Chronic	N18.9	Chronic renal failure, unspecified
D007683	Kidney Tubular Necrosis, Acute	N17.0	Acute renal failure with tubular necrosis
D007690	Polycystic Kidney Diseases	Q61.3	Polycystic kidney, unspecified
D007713	Klinefelter Syndrome	Q98.0	Klinefelter's syndrome karyotype 47,XXY
D007713	Klinefelter Syndrome	Q98.4	Klinefelter's syndrome, unspecified
D007714	Klippel-Feil Syndrome	Q76.1	Klippel-Feil syndrome
D052798	Balanitis Xerotica Obliterans	N48.0	Leukoplakia of penis
D007724	Vulvar Lichen Sclerosus	N90.4	Leukoplakia of vulva
D007732	Kwashiorkor	E40	Kwashiorkor
D007733	Kyasanur Forest Disease	A98.2	Kyasanur Forest disease
D007762	Labyrinthitis	H83.0	Labyrinthitis
D007766	Lacrimal Apparatus Diseases	H04	Disorders of lacrimal system
D007766	Lacrimal Apparatus Diseases	H04.9	Disorder of lacrimal system, unspecified
D007787	Lactose Intolerance	E73	Lactose intolerance
D007787	Lactose Intolerance	E73.9	Lactose intolerance, unspecified
D015624	Lambert-Eaton Myasthenic Syndrome	G73.1	Eaton-Lambert syndrome
D007816	Larva Migrans, Visceral	B83.0	Visceral larva migrans
D007819	Laryngeal Edema	J38.4	Oedema of larynx
D007826	Laryngismus	J38.5	Laryngeal spasm
D007829	Laryngostenosis	J38.6	Stenosis of larynx
D007835	Lassa Fever	A96.2	Lassa fever
D007855	Lead Poisoning	T56.0	Toxic effect of lead and its compounds
D007873	Legg-Calve-Perthes Disease	M91.2	Coxa plana
D007873	Legg-Calve-Perthes Disease	M91.3	Pseudocoxalgia
D007877	Legionnaires' Disease	A48.1	Legionnaires' disease
D007896	Leishmaniasis	B55	Leishmaniasis
D007896	Leishmaniasis	B55.9	Leishmaniasis, unspecified
D016773	Leishmaniasis, Cutaneous	B55.1	Cutaneous leishmaniasis
D007898	Leishmaniasis, Visceral	B55.0	Visceral leishmaniasis
D007905	Lens Diseases	H25-H28.9	Disorders of lens
D007905	Lens Diseases	H27.9	Disorder of lens, unspecified
D007918	Leprosy	A30	Leprosy [Hansen's disease]
D007918	Leprosy	A30.9	Leprosy, unspecified
D015439	Leprosy, Borderline	A30.3	Borderline leprosy
D015440	Leprosy, Lepromatous	A30.5	Lepromatous leprosy
D015441	Leprosy, Tuberculoid	A30.1	Tuberculoid leprosy
D007922	Leptospirosis	A27	Leptospirosis
D007922	Leptospirosis	A27.9	Leptospirosis, unspecified
D007926	Lesch-Nyhan Syndrome	E79.1	Lesch-Nyhan syndrome
C538636	Familial Letterer-Siwe disease	C96.0	Letterer-Siwe disease
D007938	Leukemia	C95	Leukaemia of unspecified cell type
D007938	Leukemia	C95.9	Leukaemia, unspecified
D015451	Leukemia, Lymphocytic, Chronic, B-Cell	C91.1	Chronic lymphocytic leukaemia
D007943	Leukemia, Hairy Cell	C91.4	Hairy-cell leukaemia
D007945	Leukemia, Lymphoid	C91	Lymphoid leukaemia
D007945	Leukemia, Lymphoid	C91.9	Lymphoid leukaemia, unspecified
D007946	Leukemia, Mast-Cell	C94.3	Mast cell leukaemia
D007947	Leukemia, Megakaryoblastic, Acute	C94.2	Acute megakaryoblastic leukaemia
D015470	Leukemia, Myeloid, Acute	C92.0	Acute myeloid leukaemia
D007951	Leukemia, Myeloid	C92	Myeloid leukaemia
D007951	Leukemia, Myeloid	C92.9	Myeloid leukaemia, unspecified
D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	C92.1	Chronic myeloid leukaemia
D015479	Leukemia, Myelomonocytic, Acute	C92.5	Acute myelomonocytic leukaemia
D007952	Leukemia, Plasma Cell	C90.1	Plasma cell leukaemia
D015463	Leukemia, Prolymphocytic	C91.3	Prolymphocytic leukaemia
D015473	Leukemia, Promyelocytic, Acute	C92.4	Acute promyelocytic leukaemia
D015459	Leukemia-Lymphoma, Adult T-Cell	C91.5	Adult T-cell leukaemia
D007960	Leukocyte Disorders	D72.9	Disorder of white blood cells, unspecified
D007968	Leukoencephalopathy, Progressive Multifocal	A81.2	Progressive multifocal leukoencephalopathy
D007979	Levocardia	Q24.1	Laevocardia
C535892	Lichen planus follicularis	L66.1	Lichen planopilaris
D008010	Lichen Planus	L43	Lichen planus
D008010	Lichen Planus	L43.9	Lichen planus, unspecified
D018459	Lichen Sclerosus et Atrophicus	L90.0	Lichen sclerosus et atrophicus
D015168	Lightning Injuries	T75.0	Effects of lightning
D008047	Lip Diseases	K13.0	Diseases of lips
D008059	Mucopolysaccharidosis I	E76.0	Mucopolysaccharidosis, type I
D008064	Lipidoses	E75.6	Lipid storage disorder, unspecified
D008072	Hyperlipoproteinemia Type I	E78.3	Hyperchylomicronaemia
D008088	Listeriosis	A32	Listeriosis
D008088	Listeriosis	A32.9	Listeriosis, unspecified
D008100	Liver Abscess	K75.0	Abscess of liver
D008101	Liver Abscess, Amebic	A06.4	Amoebic liver abscess
D008104	Liver Cirrhosis, Alcoholic	K70.3	Alcoholic cirrhosis of liver
D008105	Liver Cirrhosis, Biliary	K74.5	Biliary cirrhosis, unspecified
D008107	Liver Diseases	K70-K77.9	Diseases of liver
D008107	Liver Diseases	K76.9	Liver disease, unspecified
D008108	Liver Diseases, Alcoholic	K70	Alcoholic liver disease
D008108	Liver Diseases, Alcoholic	K70.9	Alcoholic liver disease, unspecified
D008118	Loiasis	B74.3	Loiasis
D008141	Lordosis	M40.5	Lordosis, unspecified
D017116	Low Back Pain	M54.5	Low back pain
D029424	Pulmonary Disease, Chronic Obstructive	J44.9	Chronic obstructive pulmonary disease, unspecified
D008179	Lupus Erythematosus, Discoid	L93.0	Discoid lupus erythematosus
D008180	Lupus Erythematosus, Systemic	M32	Systemic lupus erythematosus
D008180	Lupus Erythematosus, Systemic	M32.9	Systemic lupus erythematosus, unspecified
D008193	Lyme Disease	A69.2	Lyme disease
D008202	Lymphangioma	D18.1	Lymphangioma, any site
D008205	Lymphangitis	I89.1	Lymphangitis
D008216	Lymphocytic Choriomeningitis	A87.2	Lymphocytic choriomeningitis
D008219	Lymphogranuloma Venereum	A55	Chlamydial lymphogranuloma (venereum)
D051359	Lymphohistiocytosis, Hemophagocytic	D76.1	Haemophagocytic lymphohistiocytosis
D008224	Lymphoma, Follicular	C82	Follicular [nodular] non-Hodgkin's lymphoma
D008224	Lymphoma, Follicular	C82.9	Follicular non-Hodgkin's lymphoma, unspecified
D008228	Lymphoma, Non-Hodgkin	C85.9	Non-Hodgkin's lymphoma, unspecified type
D008228	Lymphoma, Non-Hodgkin	C83.1	Small cleaved cell (diffuse) non-Hodgkin's lymphoma
D008258	Waldenstrom Macroglobulinemia	C88.0	Waldenstrom's macroglobulinaemia
D008265	Macrostomia	Q18.4	Macrostomia
D008271	Mycetoma	B47	Mycetoma
D008271	Mycetoma	B47.9	Mycetoma, unspecified
D008275	Magnesium Deficiency	E61.2	Magnesium deficiency
D008286	Malabsorption Syndromes	K90.9	Intestinal malabsorption, unspecified
D008286	Malabsorption Syndromes	K90	Intestinal malabsorption
D008288	Malaria	B54	Unspecified malaria
D016778	Malaria, Falciparum	B50	Plasmodium falciparum malaria
D016778	Malaria, Falciparum	B50.9	Plasmodium falciparum malaria, unspecified
D016780	Malaria, Vivax	B51	Plasmodium vivax malaria
D008303	Malignant Carcinoid Syndrome	E34.0	Carcinoid syndrome
D008305	Malignant Hyperthermia	T88.3	Malignant hyperthermia due to anaesthesia
D008309	Mallory-Weiss Syndrome	K22.6	Gastro-oesophageal laceration-haemorrhage syndrome
D008310	Malocclusion	K07.4	Malocclusion, unspecified
D008337	Mandibular Fractures	S02.6	Fracture of mandible
D008368	Mansonelliasis	B74.4	Mansonelliasis
D008375	Maple Syrup Urine Disease	E71.0	Maple-syrup-urine disease
D008379	Marburg Virus Disease	A98.3	Marburg virus disease
D008382	Marfan Syndrome	Q87.4	Marfan's syndrome
D008415	Mastocytosis	Q82.2	Mastocytosis
D059373	Mastodynia	N64.4	Mastodynia
D008417	Mastoiditis	H70.9	Mastoiditis, unspecified
D008457	Measles	B05	Measles
D008467	Meckel Diverticulum	Q43.0	Meckel's diverticulum
D008471	Meconium Aspiration Syndrome	P24.0	Neonatal aspiration of meconium
D008551	Melena	K92.1	Melaena
D008554	Melioidosis	A24.4	Melioidosis, unspecified
D008556	Melkersson-Rosenthal Syndrome	G51.2	Melkersson's syndrome
D008575	Meniere Disease	H81.0	Meniere's disease
D008580	Meningism	R29.1	Meningismus
D008581	Meningitis	G03.9	Meningitis, unspecified
D008583	Meningitis, Haemophilus	G00.0	Haemophilus meningitis
D008585	Meningitis, Meningococcal	A39.0	Meningococcal meningitis
D008586	Meningitis, Pneumococcal	G00.1	Pneumococcal meningitis
D008587	Meningitis, Viral	A87	Viral meningitis
D008587	Meningitis, Viral	A87.9	Viral meningitis, unspecified
D008589	Meningococcal Infections	A39	Meningococcal infection
D008589	Meningococcal Infections	A39.9	Meningococcal infection, unspecified
